,name,id
0,"Åråsen, Lillestrøm",NSR:StopPlace:5584
1,"Forskningsparken, Oslo",NSR:StopPlace:59600
2,"Oslo S, Oslo",NSR:StopPlace:59872
3,"Lillestrøm stasjon, Lillestrøm",NSR:StopPlace:62339
